name,phone,website,address,city,rating,reviews,type,place_id,email_guess,mv_quality,mv_result
Kindred Pest Control,(979) 436-8023,https://kindredpest.com/,"2501 Central Pkwy c1, Houston, TX 77092",Houston,4.8,10417,Pest control service,ChIJkfqOrFabRoYRuG61OmvrHao,%20office@kindredpest.com,,
Goettl Air Conditioning and Plumbing - San Antonio TX,(210) 460-3966,https://www.goettl.com/location/san-antonio-texas/?utm_source=Google&utm_medium=GMB&utm_campaign=SAT.GMB_Google_Business_Profile,"7847 Fortune Dr, San Antonio, TX 78250",San Antonio,4.8,10398,Plumber,ChIJv5kztYJnXIYRIzC9hji2uEk,contactus@goettl.com,good,ok
One Hour Air Conditioning & Heating® of Houston,(281) 407-9754,https://www.onehourheatandair.com/houston/?utm_source=organic&utm_medium=GBP&utm_campaign=gbp_main,"4455 W Sam Houston Pkwy N, Houston, TX 77041",Houston,4.8,10116,HVAC contractor,ChIJg6KxS3LQQIYRojXRYlc39pM,fhunt@authoritybrandsllc.com,good,ok
The Breakfast Klub,(713) 528-8561,http://www.thebreakfastklub.com/,"3711 Travis St, Houston, TX 77002",Houston,4.7,9920,Breakfast restaurant,ChIJ_0MiMm6_QIYRr7XETdEk5ZE,katering@thebreakfastklub.com,good,ok
"Village Plumbing, Air & Electric",(281) 607-5357,https://villageplumbing.com/?utm_source=google&utm_medium=gmb&utm_campaign=Google%20Business%20Profile,"10644 W Little York Rd Suite 200, Houston, TX 77041",Houston,4.8,9685,Plumber,ChIJIc-2aF_AQIYRJab07qEMW4A,service@villageplumbing.com,good,ok
MILANO NAIL SPA AUSTIN | Best Nail Salon in Austin Texas,(512) 900-0206,https://milanonailspaatx.com/,"2755 E 7th St, Austin, TX 78702",Austin,4.9,9252,Nail salon,ChIJY5A5XcC1RIYRZakP3mODjRk,milanonailspaatx@gmail.com,good,ok
Magnolia Table,(254) 265-6859,https://magnolia.com/visit/eat/magnolia-table/,"2132 S Valley Mills Dr, Waco, TX 76706",Waco,4.5,8747,American restaurant,ChIJZXt4pCuCT4YR-vgPxnLngtA,help@magnolia.com,good,ok
Pecan Lodge,(214) 748-8900,http://www.pecanlodge.com/,"2702 Main St, Dallas, TX 75226",Dallas,4.5,8494,Barbecue restaurant,ChIJGXYxd92YToYR7yV_BSMQ2Xk,catering@pecanlodge.com,good,ok
White Knight Pest Control,(713) 589-9637,https://www.whiteknightpest.com/?utm_source=google&utm_medium=organic&utm_campaign=local-seo&utm_term=houston-website,"14300 Northwest Fwy #A-14, Houston, TX 77040",Houston,4.5,7637,Pest control service,ChIJgfSq0I7PQIYR_kmsZjFO7Ns,team@whiteknightpest.com,good,ok
Elmer's Home Services,(210) 664-4358,https://elmershomeservices.com/,"9710 I-35 Frontage Rd, San Antonio, TX 78233",San Antonio,4.8,7321,Plumber,ChIJ0YqNafKMXIYRHLsRlTieeB8,seo2021@vitalstorm.com,good,ok
bel Furniture san Antonio,(210) 680-8899,https://belfurniture.com/pages/san-antonio,"555 SW Loop 410, San Antonio, TX 78227",San Antonio,4.6,7127,Furniture store,ChIJj4QFUr9cXIYR4BVA0GdIx10,beaumont@belfurniture.com,good,ok
Franklin Barbecue,(512) 653-1187,https://franklinbarbecue.com/,"900 E 11th St, Austin, TX 78702",Austin,4.7,7034,Barbecue restaurant,ChIJM8w7rqS1RIYRhEz2-KuoqzE,hello@franklinbbq.com,good,ok
La Pasha Lounge & Grill,(832) 979-4961,https://www.lapashalounge.com/,"2475 S Kirkwood Rd, Houston, TX 77077",Houston,4.6,7003,Mediterranean restaurant,ChIJbz5lkwzdQIYRmnxwK_C25S0,lapashahouston@gmail.com,good,ok
Frank's Pizza,(713) 225-5656,http://frankspizza.com/,"417 Travis St, Houston, TX 77002",Houston,4.6,6838,Pizza restaurant,ChIJp5v6VCW_QIYRsBulbXJDew8,infor@frankspizza.com,bad,invalid
Fairmont Austin,(512) 600-2000,https://www.fairmont.com/austin/?goto=fiche_hotel&code_hotel=A7Z4&merchantid=seo-maps-US-A7Z4&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,"101 Red River St, Austin, TX 78701",Austin,4.5,6818,Hotel,ChIJ_6fT_6i1RIYRkQNSGuLZsLA,dallas@fairmont.com,good,ok
Taqueria Taxco,(972) 807-2282,https://www.ttaxco.com/,"2909 Irving Blvd, Dallas, TX 75247",Dallas,4.5,6706,Mexican restaurant,ChIJVQUzKgycToYRPlwpkYJ_xCU,taqueriataxco@gmail.com,good,ok
Axelrad Beer Garden,(713) 597-8800,http://www.axelradhouston.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,"1517 Alabama St, Houston, TX 77004",Houston,4.7,6596,Bar,ChIJDVq9HXO_QIYRAwpe106KY9w,drink@axelradbeergarden.com,good,ok
Cooper's Old Time Pit Bar-B-Que,(512) 474-4227,http://coopersbbqaustin.com/,"217 Congress Ave., Austin, TX 78701",Austin,4.4,6518,Barbecue restaurant,ChIJoZsHcQi1RIYRfyBnp0UxNMI,%20eddie@coopersbbq.com,,
Razzoo's Cajun Cafe,(281) 340-1200,http://razzoos.com/,"12770 Southwest Fwy, Stafford, TX 77477",Stafford,4.2,6488,Seafood restaurant,ChIJsREjb7fnQIYRFUswlyTBHFQ,mcrowd@mcaprgroup.com,good,ok
DFW Gun Range and Academy,(214) 630-4866,http://www.dfwgun.com/,"1607 W Mockingbird Ln, Dallas, TX 75235",Dallas,4.9,6482,Shooting range,ChIJJ_YYkWqcToYRmjQ-Ho5ygw4,chris@dfwgun.com,risky,catch_all
Meso Maya Comida y Copas,(214) 484-6555,https://www.mesomaya.com/,"1611 McKinney Ave, Dallas, TX 75202",Dallas,4.6,6407,Mexican restaurant,ChIJMzOiejuZToYRWmNcwhwM1Dc,downtown@mesomaya.com,good,ok
Whiskey Cake Kitchen & Bar,(972) 993-2253,https://www.whiskeycake.com/,"3601 Dallas Pkwy, Plano, TX 75093",Plano,4.6,6371,New American restaurant,ChIJtziVu2AjTIYR7j2MptLe97w,alliance@whiskey-cake.com,good,ok
"Bradbury Brothers Cooling, Plumbing & Electrical",(281) 247-0667,https://bradburybrothers.com/?utm_source=Google&utm_medium=GBP&utm_campaign=Organic_GBP_Bradbury,"30045 FM2978, Magnolia, TX 77354",Magnolia,4.9,6255,HVAC contractor,ChIJ-TsE8jM0R4YRdYS6S8AYWnU,dev@leadsnearby.com,risky,catch_all
Escape The Room Minneapolis,(612) 666-0077,https://escapetheroom.com/minneapolis/?utm_source=GMBlisting&utm_medium=organic,"923 Nicollet Mall #375, Minneapolis, MN 55402",,5,6252,Escape room center,ChIJefyd9ZYys1IRcIk1rsMxfrc,houston@escapetheroom.com,risky,unknown
AutoNation USA Houston,(281) 766-8699,https://www.autonationusa.com/dealership/houston.htm?&utm_source=local&utm_medium=organic&utm_campaign=*000012247*GMB,"8526 North Fwy, Houston, TX 77037",Houston,4.6,6239,Used car dealer,ChIJF2LntxXIQIYR0Cz9OcXuK2A,gm2971@autonation.com,risky,catch_all
"Mathews CCAC Heating, Cooling, Plumbing & Electrical",(361) 247-4169,https://www.ccacac.com/locations/corpus-christi-tx/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*142*mathews-ccac-corpus-christi,"4502 S Padre Island Dr, Corpus Christi, TX 78411",Corpus Christi,4.9,6075,Plumber,ChIJgXlKn4T1aIYRePDGJVSistc,service@ccacac.com,bad,invalid
Juan in a Million,(512) 472-3872,http://juaninamillion.com/,"2300 E Cesar Chavez St, Austin, TX 78702",Austin,4.5,5923,Mexican restaurant,ChIJu94Vu8q1RIYRI36mVrMr-IY,juaninamil@gmail.com,good,ok
RA Sushi - Houston (Highland Village),(713) 621-5800,https://rasushi.com/,"3908 Westheimer Rd, Houston, TX 77027",Houston,4.6,5866,Sushi restaurant,ChIJu5-HnRnBQIYRHjNuOws9zIE,customerservice@rasushi.com,error,The read operation timed out
1618 Asian Fusion,(737) 332-4609,https://1618asianfusion.com/,"1618 E Riverside Dr, Austin, TX 78741",Austin,4.8,5807,Asian fusion restaurant,ChIJS5e6G7a1RIYRxVd0-HJFtRs,event@1618lakeside.com,good,ok
Air Tech of Houston AC & Plumbing,(832) 680-5546,https://www.airtechofhouston.com/locations/houston-tx/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*19*air-tech-houston,"2114 Lou Ellen Ln, Houston, TX 77018",Houston,4.9,5797,HVAC contractor,ChIJnepQB1XGQIYRy455cw3qD-Q,service@airtechofhouston.com,good,ok
Grace's,(713) 728-6410,http://www.gracesonkirby.com/,"3111 Kirby Dr, Houston, TX 77098",Houston,4.5,5787,American restaurant,ChIJcSuSku3AQIYRfF98hYAS130,office@gracesonkirby.com,good,ok
Kona Grill - El Paso,(915) 249-3803,"https://konagrill.com/locations?locations=El-Paso,79925","8889 Gateway Blvd W #1740, El Paso, TX 79925",El Paso,4.5,5680,American restaurant,ChIJke4HnBdb54YRoRHrDyhElcU,elpaso@konagrill.com,good,ok
3Eleven Kitchen and Cocktails,(214) 744-1423,https://3elevendallas.com/,"311 N Market St # 100, Dallas, TX 75202",Dallas,4.8,5531,American restaurant,ChIJPVNJIhaZToYR8jBVOOqU9tA,311kitchenandcocktails@gmail.com,good,ok
STK Steakhouse,(972) 842-9450,https://stksteakhouse.com/en-us/location/dallas/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"2000 McKinney Ave, Dallas, TX 75201",Dallas,4.5,5523,Steak house,ChIJJZGu-ZqZToYRfSZAvIFsp_o,eventsdallas@togrp.com,error,The read operation timed out
Paesanos Riverwalk,(210) 227-2782,https://www.paesanosriverwalk.com/,"111 W Crockett St Suite 101, San Antonio, TX 78205",San Antonio,4.5,5471,Italian restaurant,ChIJw2ODlqxYXIYR5xFcNubeg6I,prw@joesfood.com,good,ok
The Riot Comedy Club,(713) 264-8664,http://theriothtx.com/,"2010 Waugh Dr, Houston, TX 77006",Houston,4.9,5467,Comedy club,ChIJn0YveOjBQIYRVcI9ZbbcvwE,comedy@theriothtx.com,good,ok
Pluckers Wing Bar,(713) 864-9464,https://www.pluckers.com/location/shepherd,"1400 Shepherd Dr, Houston, TX 77007",Houston,4.3,5403,Chicken wings restaurant,ChIJAyHWqkzHQIYRk8Ww8Mwi7Bg,stishgart@pluckers.net,good,ok
Haywire,(972) 781-9473,http://haywirerestaurant.com/,"5901 Winthrop St Ste 110, Plano, TX 75024",Plano,4.5,5396,New American restaurant,ChIJE_8Qja88TIYRj8MF8G1hDZw,april.eggleston@haywirerestaurant.com,good,ok
Casa do Brasil,(512) 351-8086,https://casadobrasil.com/austin,"10515 N Mopac Expy NB, Austin, TX 78759",Austin,4.9,5357,Steak house,ChIJUWNxVCjLRIYRJvF3RVr6KeE,marketing@casadobrasil.com,good,ok
Adriatic Cafe Italian Grill,(832) 761-7173,http://www.adriaticcafe.com/,"19004 Windsor Pointe Dr, Tomball, TX 77375",Tomball,4.6,5348,Italian restaurant,ChIJC-TXc9XSQIYRp3Ae_SUtkx0,aadriatic.cafe@gmail.com,bad,invalid
River Oaks Thai Massage,(832) 991-9995,https://riveroakthaimassage.com/,"1308 W Gray St, Houston, TX 77019",Houston,5,5323,Massage spa,ChIJU2jT26DAQIYRMVy3ZifRGkc,riveroaksmassage@gmail.com,good,ok
Stanley's Famous Pit Barbecue,(903) 593-0311,http://www.stanleysfamous.com/,"525 S Beckham Ave, Tyler, TX 75702",Tyler,4.6,5301,Barbecue restaurant,ChIJweyxhKPOSYYRxBhiBrWH5p8,hello@coltclassicpresents.com,good,ok
House of Pies,(281) 717-8400,https://houseofpies.com/,"20802 Katy Fwy, Katy, TX 77449",Katy,4.7,5274,Bakery,ChIJW39VjDYnQYYR1ulx0nW6eIs,kirby@houseofpies.com,good,ok
Lopez Mexican Restaurant - Houston,(281) 495-2436,http://houston.vivalopez.com/,"11606 Wilcrest Dr, Houston, TX 77099",Houston,4.6,5263,Mexican restaurant,ChIJc7UxQebnQIYRNuQQe07MaXw,lopez@vivalopez.com,good,ok
Babe's Chicken Dinner House,(972) 496-1041,https://babeschicken.com/?y_source=1_MjAyMjkwMzQ0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"1456 Belt Line Rd #171, Garland, TX 75044",Garland,4.6,5231,Chicken restaurant,ChIJ4fRd9cwdTIYRwPzf6jPXe2M,comments@babeschicken.com,good,ok
Sherlock's Escape Rooms Dallas,(972) 358-3528,https://www.sherlocksescaperooms.com/,"4887 Alpha Rd Suite 275, Farmers Branch, TX 75244",Farmers Branch,5,5169,Escape room center,ChIJRcrwOnkhTIYRvZMjOkVig1Q,sherlocksescaperooms@gmail.com,good,ok
"Rudy's ""Country Store"" and Bar-B-Q",(210) 653-7839,http://www.leonspringsbbq.com/,"10623 Westover Hills Blvd, San Antonio, TX 78251",San Antonio,4.2,5142,Barbecue restaurant,ChIJAWg3e-NCXIYRXXju2UAaYKw,gsc@leonspringsbbq.com,risky,catch_all
ABC Home & Commercial Services,(512) 837-9500,https://www.abchomeandcommercial.com/austin/pest-control?utm_source=gmb&utm_medium=organic&utm_campaign=austin-pest,"9475 US-290, Austin, TX 78724",Austin,4.8,5009,Pest control service,ChIJ07DGwEfIRIYR1THFpMsx2YA,dev@monkee-boy.com,good,ok
Down on Grayson,(210) 248-9244,https://www.downongrayson.com/,"303 E Grayson St, San Antonio, TX 78215",San Antonio,4.4,4831,American restaurant,ChIJeR2k-fP1XIYR9ZEz1asIiGM,downongrayson@gruenetexas.com,good,ok
Platinum Tattoos & Piercings,(210) 682-5239,https://platinumtattoos.com/,"5545 Northwest Loop 410 103 B, San Antonio, TX 78238",San Antonio,4.7,4813,Tattoo shop,ChIJqZh1bd5mXIYRxWAqPvEf5HA,platinumt4t@gmail.com,good,ok
The Guenther House,(210) 227-1061,https://www.guentherhouse.com/,"205 E Guenther St, San Antonio, TX 78204",San Antonio,4.5,4762,Breakfast restaurant,ChIJUVgHyLpYXIYRaEZvcMuVr8s,sarm@chg.com,good,ok
La Quinta Inn & Suites by Wyndham San Antonio Riverwalk,(210) 222-9181,https://www.wyndhamhotels.com/laquinta/san-antonio-texas/la-quinta-san-antonio-riverwalk/overview?CID=LC:6ysy27krtpcrqev:53402&iata=00093796,"303 Blum St, San Antonio, TX 78205",San Antonio,3.9,4734,Hotel,ChIJ90YMOAD2XIYRdqMe5_2CEZk,accessibility@wyndham.com,risky,catch_all
La Fogata Mexican Cuisine,(210) 340-1337,http://www.lafogata.com/,"2427 Vance Jackson Rd, San Antonio, TX 78213",San Antonio,4.2,4704,Mexican restaurant,ChIJa5N16jZeXIYRSM71ZFnzfhk,events@lafogata.com,risky,unknown
Goodson's Cafe,(281) 351-1749,http://www.goodsonscafe.com/,"27931 Tomball Pkwy, Tomball, TX 77375",Tomball,4.4,4683,American restaurant,ChIJaVEl-4ssR4YRbJCISmqwZcI,fun2eat@sbcglobal.net,risky,catch_all
La Margarita Mexican Restaurant & Oyster Bar,(210) 898-1745,http://www.lamargarita.com/,"120 Produce Row, San Antonio, TX 78207",San Antonio,4.3,4660,Mexican restaurant,ChIJ44hzy0xfXIYRpsU8TsxP0hk,guestservice@lafamiliacortez.com,bad,invalid
La Fisheria,(713) 802-1712,http://www.lafisheriahtx.com/,"213 Milam St, Houston, TX 77002",Houston,4.8,4648,Mexican restaurant,ChIJjfnzbEzHQIYRa3zh8igbVQw,lafisheria.downtown@gmail.com,good,ok
Andale Mexican Restaurant and Cantina,(915) 590-5999,http://www.andalemexicanrestaurant.com/,"9201 Gateway Blvd W, El Paso, TX 79925",El Paso,4.2,4633,Mexican restaurant,ChIJIxHclz5b54YRutLMEUfYCoU,amkryukov@gmail.com,good,ok
McShan Florist,(214) 324-2481,https://www.mcshanflorist.com/?utm_source=google&utm_medium=gbp&y_source=1_MTY3NzUyNjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"10311 Garland Rd, Dallas, TX 75218",Dallas,4.9,4564,Florist,ChIJSyoU-hChToYRRBA_l6ujJw8,comments@mcshan.com,bad,invalid
Katy Asian Town,(346) 998-8000,https://katyasiantownandmarketplace.com/,"23119 Colonial Pkwy, Katy, TX 77449",Katy,4.7,4536,Restaurant,ChIJpbX2uTQnQYYRcNLurxfOYBg,amaonthego@gmail.com,good,ok
Savoy Restaurant,(281) 568-6772,http://www.savoyrestauranthouston.com/,"11246 S Wilcrest Dr 145 B, Houston, TX 77099",Houston,4.5,4524,Indian restaurant,ChIJu2RgdeXnQIYR5qm6vHq5Uko,savoyrestaurant01@gmail.com,good,ok
Brothers Taco House,(713) 223-0091,https://brothers-taco-house.shop/,"1604 Emancipation Ave, Houston, TX 77003",Houston,4.6,4496,Mexican restaurant,ChIJ9ULTrx6_QIYR_0KJi_DlMC8,placejoys.com@gmail.com,good,ok
Perry's Steakhouse & Grille - Downtown Austin,(512) 474-6300,http://www.perryssteakhouse.com/menu-locations/austin/downtown/,"114 W 7th St, Austin, TX 78701",Austin,4.6,4470,Steak house,ChIJz7o2jgm1RIYRi_5Y7JfjH0A,desiree@perryssteakhouse.com,good,ok
La Hacienda Ranch,(972) 335-2232,https://laharanch.com/lahaciendaranchfrisco?utm_source=google,"4110 Preston Rd, Frisco, TX 75034",Frisco,4.5,4465,Mexican restaurant,ChIJMzCnOPc8TIYRQfeaWK470yA,colleyville@laharanch.com,good,ok
Hiley Buick GMC Of Fort Worth,(817) 953-2793,https://www.hileygm.com/?utm_source=GMB_profile&utm_medium=organic,"3535 W Loop 820 S of, Fort Worth, TX 76116",Fort Worth,4.5,4432,Car dealer,ChIJO1JzvQENToYR-X2o5XLCOzc,eschimmels@hileygm.com,bad,invalid
Hobbit Cafe,(713) 526-5460,http://www.hobbitcafehtx.com/,"2243 Richmond Ave, Houston, TX 77098",Houston,4.5,4362,Hamburger restaurant,ChIJ28ljLY3AQIYRIbfNV2mVpys,agustinamingote@gmail.com,good,ok
Steak 48,(713) 322-7448,https://www.steak48.com/steakhouses/houston/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"4444 Westheimer Rd, Houston, TX 77027",Houston,4.6,4361,Steak house,ChIJBx-DjBTBQIYRg-AGJi1o8ac,guestserviceshouston@steak48.com,good,ok
CorkScrew BBQ,(281) 330-2178,http://www.corkscrewbbq.com/,"26608 Keith St, Spring, TX 77373",Spring,4.7,4352,Barbecue restaurant,ChIJRfY7ATs0R4YRNVMqjkDzTHU,corkscrewbbq@corkscrewbbq.com,good,ok
Sixty Vines,(469) 620-8463,https://sixtyvines.com/,"3701 Dallas Pkwy, Plano, TX 75093",Plano,4.6,4320,Restaurant,ChIJzyWnoGAjTIYRrOlShOmDJG8,boca@sixtyvines.com,good,ok
Texas Auto Center,+1 512-280-5333,https://www.texasautocenter.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=i35_south,"6809 S I-35 Frontage Rd, Austin, TX 78744, United States",Austin,4.7,4210,Used car dealer,ChIJd6Hi3zOzRIYR3CPeE4Z2cxU,sales@texasautocenter.net,bad,invalid
Esther's Cajun Café & Soul Food,(713) 699-1212,http://www.estherscajunsoul.com/,"5007 N Shepherd Dr, Houston, TX 77018",Houston,4.1,4151,Soul food restaurant,ChIJc1YF6vLHQIYRFtA-OSPyA7g,esthers.catering@yahoo.com,risky,unknown
Truck Yard,(877) 447-2967,http://truckyardcommissarykitchen.com/,"5624 Sears St, Dallas, TX 75206",Dallas,4.6,4124,Live music bar,ChIJMd1hKzafToYReP4XfULxAfI,commissary@texastruckyard.com,good,ok
Kiki's Mexican Restaurant,+1 915-565-6713,http://www.kikisrestaurant.com/,"2719 N Piedras St, El Paso, TX 79930, United States",El Paso,4.5,4094,Mexican restaurant,ChIJIVS_VuhZ54YRO5_KfDv2c1A,astigma@astigmatic.com,risky,catch_all
Solutions Pest & Lawn,(713) 473-3345,https://solutionsstores.com/,"12064 Beamer Rd, Houston, TX 77089",Houston,4.8,4064,Pest control service,ChIJfwDMyv4h2YgRAXJUNcbUhkE,support@solutionsstores.com,good,ok
Nick's Plumbing & Air Conditioning,(713) 868-9907,https://www.nicksplumbing.com/,"3780 Yale St, Houston, TX 77018",Houston,4.7,4044,Plumber,ChIJc48_TGrHQIYRiWl40K2R6Xo,service@nicksplumbing.com,good,ok
The Whitehall,(713) 739-8800,https://www.thewhitehallhouston.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,"1700 Smith St, Houston, TX 77002",Houston,4.5,4031,Hotel,ChIJK1X9nkC_QIYRlp8QGc85bU8,frontdesk@thewhitehallhouston.com,good,ok
Arena Theatre,(713) 772-5900,https://arenahouston.com/,"7326 Southwest Fwy, Houston, TX 77074",Houston,4.3,3995,Live music venue,ChIJ6x8vGl_CQIYRNw3k5oDjr3g,contact@arenahouston.com,error,The read operation timed out
Smoke Skybar,(210) 253-9919,http://www.smokedowntown.com/,"1100 E Houston St, San Antonio, TX 78205",San Antonio,4,3981,Barbecue restaurant,ChIJZeJqtAb2XIYRhuTbDqHWxG8,eben@eyebytes.com,good,ok
Bass Pro Shops,(713) 770-5100,https://stores.basspro.com/us/tx/pearland/1000-bass-pro-dr.html?y_source=1_MzAxMTUzNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"1000 Bass Pro Dr, Pearland, TX 77047",Pearland,4.5,3954,Sporting goods store,ChIJPw4mOqyUQIYR4UxuFp0KTqo,manager_league_city_tx@basspro.com,risky,catch_all
Lazy Dog Restaurant & Bar,(682) 276-7300,https://lazydogrestaurants.com/pages/arlington-tx,"241 E Interstate 20, Arlington, TX 76018",Arlington,4.5,3949,American restaurant,ChIJD3AjK2FjToYR3Ra0ysCMUS8,digital@ldeat.com,good,ok
Musaafer,(713) 242-8087,https://www.musaaferhouston.com/,"Suite C-3500, 5115 Westheimer Rd, Houston, TX 77056",Houston,4.6,3916,Modern Indian restaurant,ChIJk3AANG_BQIYRslF9Sn9-03U,reservation@musaaferhouston.com,good,ok
Rodeo Dental & Orthodontics,(956) 413-7537,https://www.rodeodental.com/locations/brownsville-southmost-tx/?utm_source=extnet&utm_medium=organic&utm_campaign=brownsville-southmost-extnet,"2950 Southmost Rd Suite 103, Brownsville, TX 78521",Brownsville,5,3892,Pediatric dentist,ChIJgSH6eKOVb4YR-TGppheIY5M,laredog@rodeodental.com,good,ok
Valley Dental Care,(915) 598-7100,https://valleydentalcareep.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,"7505 N Loop Dr, El Paso, TX 79915",El Paso,4.9,3793,Dentist,ChIJKRdB7DFb54YRUVim_6hrPVU,hello@businessname.com,bad,invalid
Family Christian Doors,(817) 595-9900,https://www.familychristiandoors.com/,"2809 Haltom Rd, Haltom City, TX 76117",Haltom City,4.9,3779,Garage door supplier,ChIJD0O4FLR5ToYRj_2S8HqsT2c,service@fcdoors.com,good,ok
Pier 8,(281) 474-2078,https://pier-8.shop/,"409 Todville Rd, Seabrook, TX 77586",Seabrook,4.3,3772,Seafood restaurant,ChIJCWLZPf9iP4YRuQMUEluBGZ8,contact@restaurants-world.net,good,ok
The Hadi Law Firm,(832) 433-7977,https://www.thehadilawfirm.com/,"7100 Regency Square Blvd Suite 140, Houston, TX 77036",Houston,5,3767,Personal injury attorney,ChIJ5eTUwE3CQIYRgr0-p6CwIdE,anagerdz1117@gmail.com,bad,invalid
Moxies Plano Restaurant,(469) 535-5300,https://moxies.com/restaurants/plano?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic,"8451 Parkwood Blvd, Plano, TX 75024",Plano,4.7,3741,Restaurant,ChIJgTS2X788TIYRhd7MOk_o-qE,bmartinez@eatzhospitality.com,good,ok
