email,first_name,last_name,company_name,phone_number,website,location,address,rating,reviews,business_type,mv_quality,mv_result,source,place_id,shared_email_count
info@ninfas.com,The,Original Ninfa's on Navigation,The Original Ninfa's on Navigation,(713) 228-1175,http://www.ninfas.com/,Houston,"2704 Navigation Blvd, Houston, TX 77003",4.4,8448,Mexican restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJeejHW9u-QIYR2xQC_Nj9vi8,1
info@marriott.com,Marriott,Marquis Houston,Marriott Marquis Houston,(713) 654-1777,https://www.marriott.com/en-us/hotels/houmq-marriott-marquis-houston/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,Houston,"1777 Walker St, Houston, TX 77010",4.4,8032,Hotel,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJvWr52iO_QIYRPxXgLyOB6fU,18
info@serviceexperts.com,Strand,Brothers Service Experts,Strand Brothers Service Experts,(512) 598-6625,https://www.serviceexperts.com/austin-tx/?&utm_campaign=listing&utm_medium=organic_search&utm_source=gmb&utm_content=brand,Austin,"5811 Techni Center Dr, Austin, TX 78721",4.8,7445,HVAC contractor,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJL85N7DXPRIYRbB7cLBUoBEg,5
info@gringostexmex.com,Gringo's,Mexican Kitchen {Spring},Gringo's Mexican Kitchen {Spring},(832) 381-3345,http://www.gringostexmex.com/,Spring,"19330 I-45, Spring, TX 77373",4.4,6784,Tex-Mex restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJSQ_8pCw1R4YRPn9wnG6PA9U,4
info@chart-house.com,Chart,House,Chart House,(210) 223-3101,https://www.chart-house.com/location/chart-house-san-antonio-tx/,San Antonio,"739 E César E. Chávez Blvd, San Antonio, TX 78205",4.2,6663,Seafood restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJF8VS7P_1XIYRoIw2IqkmC90,1
info@tastedowntownhtx.com,Taste,Kitchen + Bar,Taste Kitchen + Bar,(713) 485-5803,https://www.tastedowntownhtx.com/,Houston,"420 Main St, Houston, TX 77002",4.4,6606,Brunch restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJoTFCUCW_QIYRfKu4b1hWplQ,1
info@stanleysteemer.com,Stanley,Steemer,Stanley Steemer,(972) 484-6376,https://www.stanleysteemer.com/locations/TX/Dallas/581,Farmers Branch,"13859 Diplomat Dr #100, Farmers Branch, TX 75234",4.8,6546,Carpet cleaning service,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJgbI2W9QnTIYRm852_yGLS_4,7
info@houstonrcc.com,IAH,Houston Rental Car Center,IAH Houston Rental Car Center,,https://www.houstonrcc.com/car-rental/usa-houston-george-bush-intc-airport-iah,Houston,"17330 Palmetto Pines, Houston, TX 77032",4.1,6522,,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJlakvkjy0QIYReC-GsykENxU,1
chris@dfwgun.com,DFW,Gun Range and Academy,DFW Gun Range and Academy,(214) 630-4866,http://www.dfwgun.com/,Dallas,"1607 W Mockingbird Ln, Dallas, TX 75235",4.9,6482,Shooting range,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJJ_YYkWqcToYRmjQ-Ho5ygw4,1
info@enterprise.com,Enterprise,Rent-A-Car,Enterprise Rent-A-Car,(833) 635-0439,https://www.enterprise.com/en/car-rental-locations/us/tx/dallas-ft-worth-international-airport-09y1.html?mcid=yext:245709,Dallas,"2424 E 38th St, Dallas, TX 75261",4.4,6481,Car rental agency,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJpSWCNdGBToYR2u57BzVLXhg,12
info@livingspaces.com,Living,Spaces,Living Spaces,(877) 266-7300,https://www.livingspaces.com/stores/san-antonio,San Antonio,"4239 N Loop 1604 W, San Antonio, TX 78249",4.6,6408,Furniture store,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJgW1I1IphXIYRyDZ_76Ovcvk,2
dev@leadsnearby.com,Bradbury,"Brothers Cooling, Plumbing & Electrical","Bradbury Brothers Cooling, Plumbing & Electrical",(281) 247-0667,https://bradburybrothers.com/?utm_source=Google&utm_medium=GBP&utm_campaign=Organic_GBP_Bradbury,Magnolia,"30045 FM2978, Magnolia, TX 77354",4.9,6255,HVAC contractor,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJ-TsE8jM0R4YRdYS6S8AYWnU,1
houston@escapetheroom.com,Escape,The Room Minneapolis,Escape The Room Minneapolis,(612) 666-0077,https://escapetheroom.com/minneapolis/?utm_source=GMBlisting&utm_medium=organic,,"923 Nicollet Mall #375, Minneapolis, MN 55402",5,6252,Escape room center,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJefyd9ZYys1IRcIk1rsMxfrc,3
gm2971@autonation.com,AutoNation,USA Houston,AutoNation USA Houston,(281) 766-8699,https://www.autonationusa.com/dealership/houston.htm?&utm_source=local&utm_medium=organic&utm_campaign=*000012247*GMB,Houston,"8526 North Fwy, Houston, TX 77037",4.6,6239,Used car dealer,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJF2LntxXIQIYR0Cz9OcXuK2A,3
info@ars.com,ARS,/ Rescue Rooter,ARS / Rescue Rooter,(214) 989-4872,https://www.ars.com/dallas,Irving,"6029 Campus Cir Dr W Ste 150, Irving, TX 75063",4.7,6181,Plumber,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJ9eFKokGcToYRh3EEwjJOxTo,5
info@ecoshieldpest.com,EcoShield,Pest Solutions,EcoShield Pest Solutions,(737) 250-2360,https://www.ecoshieldpest.com/locations/austin-tx?utm_source=GMB&utm_medium=organic&utm_campaign=local,Round Rock,"2590 Oakmont Dr STE 520, Round Rock, TX 78665",4.7,6101,Pest control service,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJKfnyjiEzW4YRDYnNXgGWgGU,3
info@culinarydropout.com,Culinary,Dropout,Culinary Dropout,(512) 777-3394,https://www.culinarydropout.com/locations/austin-tx/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps,Austin,"11721 Rock Rose Ave #100, Austin, TX 78758",4.4,6087,American restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJ1eAeVnLMRIYR_VB5FIj_LuE,2
info@italianosrestaurant.net,Italiano's,,Italiano's,(281) 446-6111,https://www.italianosrestaurant.net/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_content=humble,Humble,"217 Farm to Market 1960 Bypass Rd E, Humble, TX 77338",4.5,6084,Italian restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJh_OTtVWyQIYRT06u4PWwcOY,2
info@saltgrass.com,Saltgrass,Steak House,Saltgrass Steak House,(210) 222-9092,https://www.saltgrass.com/location/saltgrass-san-antonio-riverwalk/,San Antonio,"502 River Walk, San Antonio, TX 78205",4.2,6042,Steak house,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJq1Co16F4XIYRFVTSc1qyx9g,13
info@drivetime.com,DriveTime,Used Cars,DriveTime Used Cars,(281) 848-1555,https://www.drivetime.com/?reg=iah&source=local&vend=google&camn=13801&utm_content=website,Houston,"11655 North Fwy, Houston, TX 77060",4.9,5988,Used car dealer,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJE9N5DjbIQIYRqoeP23JSwbU,6
info@elcometaelpaso.com,El,Cometa,El Cometa,(915) 594-7686,http://www.elcometaelpaso.com/,El Paso,"9529 Viscount Blvd, El Paso, TX 79925",4.2,5869,Mexican restaurant,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJyau3Ozlb54YRWRmAy_vc_bA,1
info@heb.com,H-E-B,,H-E-B,(210) 737-2047,https://www.heb.com/heb-store/US/tx/san-antonio/deco-district-h-e-b-556?utm_source=google&utm_medium=organic&utm_campaign=gmb_stores,San Antonio,"2118 Fredericksburg Rd, San Antonio, TX 78201",4.4,5791,Grocery store,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJmRlovQFfXIYR05ui1PG8RO4,15
info@normascafe.com,Norma's,Cafe,Norma's Cafe,(214) 946-4711,http://www.normascafe.com/,Dallas,"1123 W Davis St, Dallas, TX 75208",4.5,5673,Breakfast restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJcTTuxC6aToYR4xZR98URWLo,2
info@misegurodeauto.com,Bikini,Insurance,Bikini Insurance,(713) 695-7400,http://www.misegurodeauto.com/,Houston,"5715 Airline Dr B, Houston, TX 77076",5,5501,Auto insurance agency,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJWXuB6A-4QIYRZ7OJDHEZBic,1
info@pinstackbowl.com,PINSTACK,,PINSTACK,+1 972-781-2695,http://pinstackbowl.com/locations/plano-texas/,Plano,"6205 Dallas Pkwy, Plano, TX 75024, United States",4.3,5376,Bowling alley,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJQ-P4b1kjTIYR03sNxx1g8q4,2
info@sanjhrestaurant.com,Sanjh,Restaurant & Bar,Sanjh Restaurant & Bar,(972) 239-1800,https://sanjhrestaurant.com/,Irving,"5250 N O'Connor Blvd Suite 146, Irving, TX 75039",4.8,5368,Restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJ982bn5iDToYRBc2eezwViSE,1
info@adelbridge.com,Adelbridge,& Co. Firearms,Adelbridge & Co. Firearms,(210) 265-1146,https://adelbridge.com/,San Antonio,"7080 San Pedro Ave, San Antonio, TX 78216",4.8,5160,Gun shop,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJuZLAIx5eXIYRfGiIMK4cQkA,1
gsc@leonspringsbbq.com,Rudy's,"""Country Store"" and Bar-B-Q","Rudy's ""Country Store"" and Bar-B-Q",(210) 653-7839,http://www.leonspringsbbq.com/,San Antonio,"10623 Westover Hills Blvd, San Antonio, TX 78251",4.2,5142,Barbecue restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJAWg3e-NCXIYRXXju2UAaYKw,2
info@hermannpark.org,McGovern,Centennial Gardens,McGovern Centennial Gardens,(713) 524-5876,https://www.hermannpark.org/visit/mcgovern-centennial-gardens/,Houston,"1500 Hermann Dr, Houston, TX 77004",4.8,5047,Garden,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJK5qZwoO_QIYRF4P0H-ZPZ3I,1
info@patiobylapasha.com,Patio,by La Pasha,Patio by La Pasha,(281) 888-2955,https://www.patiobylapasha.com/,Houston,"5810 Beverly Hill St, Houston, TX 77057",4.7,4737,Mediterranean restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJjSpiHfDDQIYRMMxr3l70diM,1
accessibility@wyndham.com,La,Quinta Inn & Suites by Wyndham San Antonio Riverwalk,La Quinta Inn & Suites by Wyndham San Antonio Riverwalk,(210) 222-9181,https://www.wyndhamhotels.com/laquinta/san-antonio-texas/la-quinta-san-antonio-riverwalk/overview?CID=LC:6ysy27krtpcrqev:53402&iata=00093796,San Antonio,"303 Blum St, San Antonio, TX 78205",3.9,4734,Hotel,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJ90YMOAD2XIYRdqMe5_2CEZk,16
events@lafogata.com,La,Fogata Mexican Cuisine,La Fogata Mexican Cuisine,(210) 340-1337,http://www.lafogata.com/,San Antonio,"2427 Vance Jackson Rd, San Antonio, TX 78213",4.2,4704,Mexican restaurant,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJa5N16jZeXIYRSM71ZFnzfhk,1
info@wholefoodsmarket.com,Whole,Foods Market,Whole Foods Market,(512) 542-2200,https://www.wholefoodsmarket.com/stores/lamar?utm_source=google&utm_medium=organic&utm_campaign=listings,Austin,"525 N Lamar Blvd, Austin, TX 78703",4.5,4702,Grocery store,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJf5QJFBK1RIYRjjfxZz9Z0O0,13
fun2eat@sbcglobal.net,Goodson's,Cafe,Goodson's Cafe,(281) 351-1749,http://www.goodsonscafe.com/,Tomball,"27931 Tomball Pkwy, Tomball, TX 77375",4.4,4683,American restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJaVEl-4ssR4YRbJCISmqwZcI,1
info@mistero1.com,Mister,O1 Extraordinary Pizza Turtle Creek,Mister O1 Extraordinary Pizza Turtle Creek,(214) 432-4434,https://www.mistero1.com/,Dallas,"3838 Oak Lawn Ave suite p175, Dallas, TX 75219",4.9,4668,Pizza restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJz9LhOnmfToYReAC2nviDUAo,3
info@bbsmokehouse.com,B&B,Smokehouse,B&B Smokehouse,(210) 921-2745,http://bbsmokehouse.com/,San Antonio,"2619 Pleasanton Rd, San Antonio, TX 78221",4.5,4544,Barbecue restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJHxDMBRVYXIYRZqGV3D0HVZI,1
info@northitalia.com,North,Italia,North Italia,(281) 605-4030,https://www.northitalia.com/locations/houston-tx-blvd-place/,Houston,"1700 Post Oak Blvd Ste 190, Houston, TX 77056",4.5,4520,Italian restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJqfWOgUHBQIYRZxQ6ObUFWuo,3
info@bjsrestaurants.com,BJ's,Restaurant & Brewhouse,BJ's Restaurant & Brewhouse,(281) 242-0400,https://www.bjsrestaurants.com/locations/tx/sugar-land?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,Sugar Land,"2231 Hwy 6, Sugar Land, TX 77478",4.3,4494,Restaurant,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJYTD2hZTmQIYRONyJWUTSnJY,3
info@seismique.com,Seismique,,Seismique,(346) 202-6006,https://www.seismique.com/,Houston,"2306 S Texas 6, Houston, TX 77077",4.4,4474,Amusement center,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJr95ma6rdQIYRlca_5pUiY9k,1
info@spanishflowerrestaurant.com,Spanish,Flowers,Spanish Flowers,(713) 869-1706,https://www.spanishflowerrestaurant.com/,Houston,"4701 N Main St, Houston, TX 77009",4.2,4458,Mexican restaurant,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJ36mlv5e4QIYR4cElFhuj39A,1
info@thehoneyholehtx.com,The,Honey Hole,The Honey Hole,(832) 234-4260,https://www.thehoneyholehtx.com/,Houston,"2327 Post Oak Blvd, Houston, TX 77056",4.6,4457,Brunch restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJZ4yc7EDBQIYR5J30FH0JSnE,1
info@thekpot.com,KPOT,Korean BBQ & Hot Pot,KPOT Korean BBQ & Hot Pot,(512) 356-9388,https://thekpot.com/location/austin-brodie/,Sunset Valley,"5200 Brodie Ln, Sunset Valley, TX 78745",4.9,4455,Korean barbecue restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJzU_3OgBLW4YRUVIIjDqRoFU,3
info@discoveryautoaustin.com,Discovery,Auto Sales,Discovery Auto Sales,+1 512-804-0600,http://www.discoveryautoaustin.com/,Austin,"8140 N Lamar Blvd, Austin, TX 78753, United States",4.8,4379,Used car dealer,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJN1Z1XMTLRIYRJMBnMFTIdho,1
info@casinoelcamino.net,Casino,El Camino,Casino El Camino,(512) 469-9330,http://www.casinoelcamino.net/,Austin,"517 E 6th St, Austin, TX 78701",4.5,4348,Hamburger restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJUXQdQqa1RIYRtnSiyRQAxE0,1
info@twistedtattootx.com,Twisted,Tattoo,Twisted Tattoo,(210) 923-8618,http://twistedtattootx.com/,San Antonio,"1031 Patricia Dr Ste 100, San Antonio, TX 78213",4.9,4343,Tattoo shop,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJ6wn52xFgXIYRE2kj4DTpanM,1
info@jimmychangas.com,Jimmy,Changas {League City},Jimmy Changas {League City},(832) 340-2446,http://www.jimmychangas.com/,League City,"2504 S Gulf Fwy S, League City, TX 77573",4.4,4338,Tex-Mex restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJ4R_Vf-OCQIYRgdV8ikEKwlI,2
info@topgolf.com,Topgolf,Houston - Katy,Topgolf Houston - Katy,(281) 406-3176,https://topgolf.com/us/houston-west/,Houston,"1030 Memorial Brook Blvd, Houston, TX 77084",4.4,4338,Restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJhW-E02bZQIYRHn_sL2nrQaM,3
info@menil.org,The,Menil Collection,The Menil Collection,(713) 525-9400,https://www.menil.org/,Houston,"1533 Sul Ross St, Houston, TX 77006",4.6,4269,Art museum,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJJzfbZH-_QIYRux-QWCrEx4w,4
info@jewboyburgers.com,Jewboy,Burgers,Jewboy Burgers,(512) 291-3358,http://www.jewboyburgers.com/,Austin,"5111 Airport Blvd, Austin, TX 78751",4.7,4264,Hamburger restaurant,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJlb0ad2DKRIYRXx2jM3DrNPQ,1
info@forgetmenothouston.com,Forget,Me Not,Forget Me Not,(713) 677-0095,http://www.forgetmenothouston.com/,Houston,"5922 Washington Ave, Houston, TX 77007",4.6,4243,Hookah bar,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJt2xpItTHQIYRxs58fRmT1mE,1
info@landrysseafood.com,Landry's,Seafood House,Landry's Seafood House,(361) 882-6666,https://www.landrysseafood.com/location/landrys-seafood-corpus-christi/,Corpus Christi,"600 N Shoreline Blvd, Corpus Christi, TX 78401",4.3,4232,Seafood restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJiUGhyPReaIYRkV3-sf3K9Uk,2
info@tycoonflats.net,Tycoon,Flats N St Marys,Tycoon Flats N St Marys,(210) 320-0819,https://stmarys.tycoonflats.com/,San Antonio,"2926 N St Mary's St, San Antonio, TX 78212",4.5,4175,Hamburger restaurant,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJ2ZwD0GFfXIYRywb44id8chs,1
esthers.catering@yahoo.com,Esther's,Cajun Café & Soul Food,Esther's Cajun Café & Soul Food,(713) 699-1212,http://www.estherscajunsoul.com/,Houston,"5007 N Shepherd Dr, Houston, TX 77018",4.1,4151,Soul food restaurant,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJc1YF6vLHQIYRFtA-OSPyA7g,1
info@epiphanydermatology.com,Epiphany,Dermatology,Epiphany Dermatology,(915) 351-7546,https://www.epiphanydermatology.com/location/el-paso-mesa-hills-tx/,El Paso,"310 S Mesa Hills Dr Ste B, El Paso, TX 79912",4.8,4131,Skin care clinic,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJx24HFCJY54YRhbG6IWZrjuA,11
astigma@astigmatic.com,Kiki's,Mexican Restaurant,Kiki's Mexican Restaurant,+1 915-565-6713,http://www.kikisrestaurant.com/,El Paso,"2719 N Piedras St, El Paso, TX 79930, United States",4.5,4094,Mexican restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJIVS_VuhZ54YRO5_KfDv2c1A,32
info@walmart.com,Walmart,Neighborhood Market,Walmart Neighborhood Market,(214) 953-0460,https://www.walmart.com/store/3341-dallas-tx/?veh=seo_loc,Dallas,"2305 N Central Expy, Dallas, TX 75204",3.9,4093,Grocery store,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJcfPyRSqZToYR4KH08i8R1uM,2
info@bbstexorleans.com,BB's,Tex-Orleans,BB's Tex-Orleans,(713) 868-8000,https://bbstexorleans.com/locations/heights/,Houston,"2701 White Oak Dr, Houston, TX 77007",4.3,4057,Cajun restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJyU09Ja-4QIYRQLKsL8hfXug,5
manager_league_city_tx@basspro.com,Bass,Pro Shops,Bass Pro Shops,(713) 770-5100,https://stores.basspro.com/us/tx/pearland/1000-bass-pro-dr.html?y_source=1_MzAxMTUzNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Pearland,"1000 Bass Pro Dr, Pearland, TX 77047",4.5,3954,Sporting goods store,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJPw4mOqyUQIYR4UxuFp0KTqo,4
info@americanairlinescenter.com,American,Airlines Center,American Airlines Center,(214) 665-4299,http://www.americanairlinescenter.com/,Dallas,"2500 Victory Ave, Dallas, TX 75219",4.6,3909,Arena,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJr-XOXC-ZToYRow-GKE8dYSE,1
info@topgunrange.com,Top,Gun Range,Top Gun Range,(713) 779-4867,https://www.topgunrange.com/,Houston,"5901 Beverly Hill St, Houston, TX 77057",4.8,3865,Shooting range,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJP4IN0dbDQIYRMleWO-tnpQE,1
info@elranchito-dallas.com,El,Ranchito,El Ranchito,(214) 946-4238,http://www.elranchito-dallas.com/,Dallas,"610 Jefferson Blvd, Dallas, TX 75208",4.3,3801,Mexican restaurant,risky,catch_all,mv-verified-houston-risky-2026-04-20,ChIJq-A-qImZToYRzJJ_Yfdz_xU,1
info@woodshedsmokehouse.com,Woodshed,Smokehouse,Woodshed Smokehouse,(817) 877-4545,http://www.woodshedsmokehouse.com/,Fort Worth,"3201 Riverfront Dr, Fort Worth, TX 76107",4.1,3800,Barbecue restaurant,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJY9xSfDJyToYRnGUIl9RoaL4,1
info@texasqualityplumbing.com,Texas,Quality Plumbing,Texas Quality Plumbing,(713) 385-0349,https://www.texasqualityplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=local+listings,Houston,"10814 Woodedge Dr, Houston, TX 77070",4.8,3770,Plumber,risky,unknown,mv-verified-houston-risky-2026-04-20,ChIJRYJR0Y7PQIYR_47naUFx8Mo,1
