first_name,last_name,company_name,email,phone,website,address,city,rating,reviews,business_type,mv_quality,mv_result,place_id,shared_email_count,source,tags
Iron,Cactus Mexican Restaurant and Margarita Bar,Iron Cactus Mexican Restaurant and Margarita Bar,info@ironcactus.com,(210) 224-9835,https://ironcactus.com/,"200 River Walk Suite 100, San Antonio, TX 78205",San Antonio,4.1,7881,Mexican restaurant,good,ok,ChIJIWAlEKtYXIYRtsBFrbLNTA4,2,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Rosario's,ComidaMex & Bar,Rosario's ComidaMex & Bar,info@rosariossa.com,(210) 223-1806,https://rosariossa.com/,"722 S St Mary's St, San Antonio, TX 78205",San Antonio,4.3,7769,Mexican restaurant,good,ok,ChIJEdIctahYXIYRXiT7Ak7uKYQ,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Main,Event Grand Prairie,Main Event Grand Prairie,info@mainevent.com,+1 972-641-2695,http://www.mainevent.com/locations/texas/grand-prairie,"3106 State Hwy 161, Grand Prairie, TX 75052, United States",Grand Prairie,4.6,7723,Bowling alley,good,ok,ChIJ45IjCKOJToYRrEopATwNwHY,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Gaido's,,Gaido's,info@gaidos.com,(409) 761-5500,http://www.gaidos.com/,"3828 Seawall Blvd, Galveston, TX 77550",Galveston,4.4,7706,Seafood restaurant,good,ok,ChIJO127nYaeP4YRLzl8_oz68z0,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
White,Knight Pest Control,White Knight Pest Control,team@whiteknightpest.com,(713) 589-9637,https://www.whiteknightpest.com/?utm_source=google&utm_medium=organic&utm_campaign=local-seo&utm_term=houston-website,"14300 Northwest Fwy #A-14, Houston, TX 77040",Houston,4.5,7637,Pest control service,good,ok,ChIJgfSq0I7PQIYR_kmsZjFO7Ns,3,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
The,Pit Room,The Pit Room,info@thepitroombbq.com,(281) 888-1929,http://www.thepitroombbq.com/,"1201 Richmond Ave, Houston, TX 77006",Houston,4.5,7491,Barbecue restaurant,good,ok,ChIJgcrcf4LAQIYREwyikgKgLco,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Matt's,El Rancho,Matt's El Rancho,info@mattselrancho.com,(512) 462-9333,http://www.mattselrancho.com/,"2613 S Lamar Blvd, Austin, TX 78704",Austin,4.4,7464,Mexican restaurant,good,ok,ChIJH5Enqda0RIYR7UBMfuWeCvE,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
H,Mart Austin,H Mart Austin,info@hmart.com,(737) 717-6900,http://www.hmart.com/,"11301 Lakeline Blvd suite 124, Austin, TX 78717",Austin,4.6,7353,Korean grocery store,good,ok,ChIJNVBZj1gtW4YRikK4GA_sSTw,2,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Elmer's,Home Services,Elmer's Home Services,seo2021@vitalstorm.com,(210) 664-4358,https://elmershomeservices.com/,"9710 I-35 Frontage Rd, San Antonio, TX 78233",San Antonio,4.8,7321,Plumber,good,ok,ChIJ0YqNafKMXIYRHLsRlTieeB8,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
The,Burger Joint,The Burger Joint,info@burgerjointhtx.com,(281) 974-2889,http://www.burgerjointhtx.com/,"2703 Montrose Blvd, Houston, TX 77006",Houston,4.5,7285,Hamburger restaurant,good,ok,ChIJN7aqB2G_QIYR6ufDr3AwQ7k,2,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Moonshine,Grill,Moonshine Grill,info@moonshinegrill.com,(512) 236-9599,http://www.moonshinegrill.com/,"303 Red River St, Austin, TX 78701",Austin,4.6,7268,Bar & grill,good,ok,ChIJzTkDkai1RIYR9PpN5L6zHD0,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
The,Ranch at Las Colinas,The Ranch at Las Colinas,info@theranchlc.com,(972) 506-7262,http://theranchlc.com/,"857 W John Carpenter Fwy, Irving, TX 75039",Irving,4.6,7202,Southwestern restaurant (US),good,ok,ChIJY4kYfykoTIYRldVtA2MsX0s,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Bacon,Plumbing Heating Air Electric,Bacon Plumbing Heating Air Electric,info@everyonelovesbacon.com,(972) 645-2738,https://everyonelovesbacon.com/,"2055 Kristy Ln, Rockwall, TX 75032",Rockwall,4.9,7192,Plumber,good,ok,ChIJXedoO_iqToYRg2MVz11fjzY,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
bel,Furniture san Antonio,bel Furniture san Antonio,beaumont@belfurniture.com,(210) 680-8899,https://belfurniture.com/pages/san-antonio,"555 SW Loop 410, San Antonio, TX 78227",San Antonio,4.6,7127,Furniture store,good,ok,ChIJj4QFUr9cXIYR4BVA0GdIx10,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Franklin,Barbecue,Franklin Barbecue,hello@franklinbbq.com,(512) 653-1187,https://franklinbarbecue.com/,"900 E 11th St, Austin, TX 78702",Austin,4.7,7034,Barbecue restaurant,good,ok,ChIJM8w7rqS1RIYRhEz2-KuoqzE,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
La,Pasha Lounge & Grill,La Pasha Lounge & Grill,lapashahouston@gmail.com,(832) 979-4961,https://www.lapashalounge.com/,"2475 S Kirkwood Rd, Houston, TX 77077",Houston,4.6,7003,Mediterranean restaurant,good,ok,ChIJbz5lkwzdQIYRmnxwK_C25S0,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Chris,Madrid's,Chris Madrid's,info@chrismadrids.com,(210) 735-3552,http://www.chrismadrids.com/,"1900 Blanco Rd, San Antonio, TX 78212",San Antonio,4.5,6893,Hamburger restaurant,good,ok,ChIJ2QQjnwxfXIYRe1f2EB5sCzE,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Fairmont,Austin,Fairmont Austin,dallas@fairmont.com,(512) 600-2000,https://www.fairmont.com/austin/?goto=fiche_hotel&code_hotel=A7Z4&merchantid=seo-maps-US-A7Z4&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,"101 Red River St, Austin, TX 78701",Austin,4.5,6818,Hotel,good,ok,ChIJ_6fT_6i1RIYRkQNSGuLZsLA,2,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Taqueria,Taxco,Taqueria Taxco,taqueriataxco@gmail.com,(972) 807-2282,https://www.ttaxco.com/,"2909 Irving Blvd, Dallas, TX 75247",Dallas,4.5,6706,Mexican restaurant,good,ok,ChIJVQUzKgycToYRPlwpkYJ_xCU,5,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Axelrad,Beer Garden,Axelrad Beer Garden,drink@axelradbeergarden.com,(713) 597-8800,http://www.axelradhouston.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,"1517 Alabama St, Houston, TX 77004",Houston,4.7,6596,Bar,good,ok,ChIJDVq9HXO_QIYRAwpe106KY9w,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Jack,Allen's Kitchen,Jack Allen's Kitchen,info@jackallenskitchen.com,(512) 215-0372,http://www.jackallenskitchen.com/,"2500 Hoppe Trail, Round Rock, TX 78681",Round Rock,4.6,6594,Southwestern restaurant (US),good,ok,ChIJ_e3PQHzRRIYR4SJF_G4sFWU,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Hopdoddy,Burger Bar,Hopdoddy Burger Bar,info@hopdoddy.com,(512) 243-7505,https://www.hopdoddy.com/locations/southcongress,"1400 S Congress Ave Suite A190, Austin, TX 78704",Austin,4.6,6521,Hamburger restaurant,good,ok,ChIJK7_q__y0RIYRA9j-Q5KFOP0,9,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Cooper's,Old Time Pit Bar-B-Que,Cooper's Old Time Pit Bar-B-Que,%20eddie@coopersbbq.com,(512) 474-4227,http://coopersbbqaustin.com/,"217 Congress Ave., Austin, TX 78701",Austin,4.4,6518,Barbecue restaurant,good,ok,ChIJoZsHcQi1RIYRfyBnp0UxNMI,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
Razzoo's,Cajun Cafe,Razzoo's Cajun Cafe,mcrowd@mcaprgroup.com,(281) 340-1200,http://razzoos.com/,"12770 Southwest Fwy, Stafford, TX 77477",Stafford,4.2,6488,Seafood restaurant,good,ok,ChIJsREjb7fnQIYRFUswlyTBHFQ,1,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
La,Panadería Bakery Café,La Panadería Bakery Café,info@lapanaderia.com,(210) 592-6264,http://www.lapanaderia.com/,"301 E Houston St, San Antonio, TX 78205",San Antonio,4.7,6461,Restaurant,good,ok,ChIJr5bioFRfXIYRS_8NX9QuLnc,4,smartlead-launch-good-first-500-2026-04-20,"bartlett-labs-outbound,houston,mv-verified,mv-good,smartlead-launch-good-first-500-2026-04-20"
